Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Tech_Support,Payment_Method,Support_Calls,Churn
10.0,147.6,Month-to-Month,DSL,No,Credit Card,0,Yes
11.0,67.36,Month-to-Month,DSL,No,Credit Card,2,Yes
44.0,47.68,Two Year,No,No,Mailed Check,2,No
33.0,107.36,Two Year,No,No,Mailed Check,2,No
72.0,50.93,Month-to-Month,DSL,Yes,Mailed Check,2,No
23.0,114.89,Month-to-Month,DSL,No,Electronic Check,2,Yes
15.0,38.88,One Year,Fiber Optic,No,Credit Card,3,Yes
2.0,107.9,Month-to-Month,Fiber Optic,Yes,Bank Transfer,3,Yes
72.0,71.03,Month-to-Month,No,No,Electronic Check,1,Yes
19.0,103.73,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
29.0,122.05,One Year,Fiber Optic,Yes,Electronic Check,0,Yes
13.0,31.02,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
19.0,103.27,Month-to-Month,No,No,Mailed Check,1,Yes
69.0,22.73,Month-to-Month,Fiber Optic,No,Bank Transfer,1,No
4.0,33.58,Month-to-Month,DSL,No,Electronic Check,0,Yes
8.0,40.9,Month-to-Month,DSL,No,Electronic Check,1,Yes
4.0,80.11,Month-to-Month,No,Yes,Credit Card,0,Yes
38.0,65.99,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,No
2.0,59.99,Two Year,Fiber Optic,Yes,Credit Card,0,No
2.0,69.39,Month-to-Month,Fiber Optic,No,Bank Transfer,3,Yes
9.0,82.74,Month-to-Month,DSL,No,Credit Card,0,Yes
17.0,85.05,Two Year,DSL,Yes,Credit Card,2,No
13.0,97.83,One Year,DSL,No,Mailed Check,1,No
1.0,119.6,One Year,Fiber Optic,No,Bank Transfer,0,Yes
72.0,64.36,Month-to-Month,Fiber Optic,Yes,Credit Card,2,No
72.0,49.37,Month-to-Month,No,No,Electronic Check,0,Yes
8.0,83.41,One Year,No,No,Credit Card,1,Yes
32.0,30.67,One Year,Fiber Optic,Yes,Bank Transfer,1,No
21.0,44.64,Month-to-Month,Fiber Optic,No,Bank Transfer,1,Yes
7.0,94.98,Month-to-Month,DSL,Yes,Electronic Check,0,No
7.0,61.28,Two Year,DSL,Yes,Credit Card,2,No
16.0,28.75,Month-to-Month,DSL,Yes,Electronic Check,3,Yes
13.0,20.31,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
8.0,66.46,Month-to-Month,DSL,No,Mailed Check,1,Yes
40.0,99.26,Two Year,DSL,No,Electronic Check,2,Yes
16.0,98.86,Two Year,Fiber Optic,No,Credit Card,2,No
26.0,68.33,One Year,Fiber Optic,No,Credit Card,2,Yes
5.0,125.27,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
18.0,61.86,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
9.0,60.84,Month-to-Month,DSL,No,Bank Transfer,6,Yes
18.0,15.0,One Year,DSL,Yes,Bank Transfer,2,No
36.0,51.58,One Year,DSL,No,Bank Transfer,1,No
35.0,90.56,Two Year,DSL,No,Electronic Check,4,Yes
10.0,111.92,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
28.0,40.09,One Year,Fiber Optic,Yes,Credit Card,2,No
68.0,78.87,Month-to-Month,DSL,No,Mailed Check,1,Yes
24.0,96.41,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
4.0,65.34,Month-to-Month,No,Yes,Electronic Check,2,No
27.0,15.0,Month-to-Month,DSL,Yes,Credit Card,0,No
3.0,72.42,Two Year,DSL,Yes,Bank Transfer,2,No
49.0,87.84,Month-to-Month,Fiber Optic,No,Credit Card,4,Yes
17.0,36.58,Two Year,Fiber Optic,No,Mailed Check,1,No
12.0,57.38,Month-to-Month,Fiber Optic,Yes,Credit Card,0,Yes
1.0,30.34,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
12.0,15.0,Month-to-Month,DSL,Yes,Bank Transfer,1,Yes
56.0,95.81,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
1.0,64.89,Month-to-Month,DSL,No,Bank Transfer,4,Yes
15.0,112.93,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
64.0,90.72,Month-to-Month,No,Yes,Electronic Check,1,No
12.0,54.37,Two Year,DSL,No,Bank Transfer,6,Yes
13.0,62.5,One Year,DSL,No,Electronic Check,1,Yes
21.0,81.99,One Year,DSL,No,Credit Card,0,No
15.0,94.01,Month-to-Month,DSL,No,Credit Card,1,Yes
4.0,74.68,Month-to-Month,DSL,No,Mailed Check,3,Yes
0.0,98.17,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
23.0,56.1,Two Year,No,No,Bank Transfer,3,Yes
61.0,35.09,Month-to-Month,Fiber Optic,No,Electronic Check,3,Yes
3.0,63.06,Month-to-Month,DSL,No,Mailed Check,1,Yes
6.0,71.16,One Year,DSL,No,Electronic Check,1,No
11.0,28.95,Month-to-Month,DSL,No,Mailed Check,2,No
40.0,24.9,Two Year,DSL,No,Electronic Check,2,Yes
8.0,78.42,Month-to-Month,Fiber Optic,Yes,Electronic Check,4,Yes
51.0,52.81,Month-to-Month,DSL,No,Electronic Check,2,No
1.0,60.02,One Year,No,Yes,Bank Transfer,2,No
68.0,54.21,Month-to-Month,Fiber Optic,No,Bank Transfer,2,No
20.0,110.62,Month-to-Month,Fiber Optic,No,Electronic Check,3,Yes
26.0,102.85,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,Yes
11.0,27.88,One Year,Fiber Optic,No,Credit Card,3,Yes
37.0,49.02,Two Year,Fiber Optic,No,Electronic Check,3,Yes
4.0,90.5,One Year,DSL,No,Credit Card,1,Yes
1.0,83.06,Two Year,DSL,Yes,Bank Transfer,1,No
12.0,63.76,Month-to-Month,No,No,Electronic Check,2,Yes
46.0,30.87,Month-to-Month,DSL,No,Mailed Check,1,Yes
34.0,44.52,Month-to-Month,Fiber Optic,Yes,Mailed Check,3,Yes
17.0,49.5,One Year,Fiber Optic,No,Bank Transfer,1,No
20.0,73.31,Month-to-Month,DSL,Yes,Electronic Check,1,Yes
3.0,116.11,One Year,DSL,Yes,Credit Card,5,Yes
44.0,44.39,One Year,DSL,No,Bank Transfer,4,Yes
37.0,34.22,Two Year,Fiber Optic,Yes,Mailed Check,1,No
26.0,61.74,Month-to-Month,Fiber Optic,No,Electronic Check,3,Yes
15.0,95.95,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
72.0,21.59,Month-to-Month,Fiber Optic,No,Mailed Check,0,No
51.0,108.61,Month-to-Month,DSL,Yes,Mailed Check,1,No
25.0,59.84,Two Year,Fiber Optic,No,Credit Card,1,No
11.0,42.97,Month-to-Month,Fiber Optic,Yes,Bank Transfer,0,Yes
23.0,16.99,Two Year,Fiber Optic,No,Electronic Check,1,No
21.0,86.2,Two Year,Fiber Optic,Yes,Bank Transfer,1,Yes
12.0,59.86,One Year,Fiber Optic,No,Electronic Check,2,Yes
9.0,70.12,Month-to-Month,DSL,No,Mailed Check,1,Yes
13.0,37.98,Month-to-Month,Fiber Optic,No,Credit Card,3,Yes
20.0,55.43,Month-to-Month,DSL,Yes,Mailed Check,1,No
13.0,50.4,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
7.0,61.98,Month-to-Month,DSL,No,Credit Card,3,Yes
34.0,44.91,Month-to-Month,No,No,Bank Transfer,1,Yes
18.0,18.97,One Year,Fiber Optic,Yes,Electronic Check,1,Yes
2.0,146.85,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,Yes
11.0,24.1,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
52.0,70.44,Month-to-Month,No,Yes,Bank Transfer,0,No
34.0,15.0,Two Year,Fiber Optic,Yes,Credit Card,2,No
9.0,15.0,One Year,DSL,No,Bank Transfer,1,Yes
67.0,67.93,Month-to-Month,No,Yes,Credit Card,1,No
2.0,70.23,One Year,Fiber Optic,No,Credit Card,1,Yes
72.0,102.84,One Year,Fiber Optic,No,Credit Card,4,Yes
7.0,76.99,Two Year,No,No,Electronic Check,2,No
0.0,60.51,Month-to-Month,DSL,No,Credit Card,0,Yes
14.0,36.51,Two Year,DSL,Yes,Bank Transfer,0,No
11.0,109.97,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
19.0,92.87,Two Year,Fiber Optic,No,Credit Card,3,No
38.0,27.61,Month-to-Month,Fiber Optic,Yes,Credit Card,1,No
44.0,66.14,Two Year,Fiber Optic,Yes,Bank Transfer,1,No
12.0,69.32,Two Year,Fiber Optic,No,Credit Card,0,Yes
13.0,54.63,Month-to-Month,Fiber Optic,Yes,Electronic Check,0,Yes
4.0,88.16,Two Year,No,No,Mailed Check,3,No
1.0,89.95,Month-to-Month,DSL,No,Electronic Check,0,Yes
25.0,59.29,Month-to-Month,Fiber Optic,No,Mailed Check,0,Yes
2.0,56.57,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
32.0,109.97,Two Year,Fiber Optic,Yes,Electronic Check,0,No
19.0,92.99,Month-to-Month,DSL,No,Bank Transfer,2,Yes
5.0,67.17,One Year,DSL,Yes,Electronic Check,3,No
19.0,16.12,One Year,Fiber Optic,No,Electronic Check,2,No
5.0,75.32,Two Year,DSL,Yes,Mailed Check,2,No
14.0,85.94,One Year,Fiber Optic,No,Mailed Check,2,Yes
39.0,15.0,Month-to-Month,DSL,No,Electronic Check,1,No
15.0,72.56,Month-to-Month,Fiber Optic,Yes,Electronic Check,0,Yes
4.0,52.5,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,No
31.0,58.37,One Year,Fiber Optic,Yes,Electronic Check,1,Yes
5.0,37.78,Month-to-Month,Fiber Optic,No,Mailed Check,0,Yes
32.0,60.55,Month-to-Month,Fiber Optic,Yes,Credit Card,2,Yes
16.0,106.76,Two Year,Fiber Optic,No,Electronic Check,2,Yes
15.0,51.61,Month-to-Month,DSL,No,Bank Transfer,3,Yes
46.0,93.97,One Year,DSL,No,Electronic Check,3,Yes
30.0,40.81,Month-to-Month,No,No,Mailed Check,1,Yes
1.0,87.76,Month-to-Month,Fiber Optic,Yes,Electronic Check,0,Yes
8.0,65.05,Month-to-Month,Fiber Optic,Yes,Credit Card,0,Yes
49.0,75.56,Month-to-Month,DSL,No,Mailed Check,1,Yes
0.0,65.21,Two Year,No,No,Bank Transfer,1,Yes
19.0,84.25,Month-to-Month,Fiber Optic,Yes,Bank Transfer,5,Yes
31.0,15.0,Month-to-Month,No,Yes,Electronic Check,1,No
23.0,22.41,One Year,No,Yes,Credit Card,2,Yes
34.0,77.51,One Year,No,Yes,Electronic Check,0,No
31.0,15.0,One Year,No,Yes,Electronic Check,1,No
28.0,49.08,Two Year,DSL,No,Electronic Check,1,Yes
41.0,63.37,One Year,No,No,Electronic Check,3,No
25.0,40.16,Month-to-Month,DSL,Yes,Electronic Check,2,Yes
12.0,44.25,Two Year,No,No,Bank Transfer,2,No
15.0,73.15,Month-to-Month,DSL,Yes,Electronic Check,4,Yes
30.0,95.28,Month-to-Month,Fiber Optic,No,Bank Transfer,2,Yes
50.0,36.25,Month-to-Month,DSL,No,Electronic Check,0,Yes
8.0,47.75,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
10.0,43.06,Month-to-Month,DSL,Yes,Electronic Check,1,Yes
64.0,15.0,Month-to-Month,Fiber Optic,Yes,Bank Transfer,2,No
21.0,69.25,Month-to-Month,No,No,Bank Transfer,3,No
5.0,93.04,Two Year,Fiber Optic,Yes,Electronic Check,4,Yes
26.0,95.5,Two Year,DSL,Yes,Electronic Check,3,Yes
72.0,38.88,One Year,Fiber Optic,Yes,Electronic Check,4,No
42.0,27.45,Two Year,DSL,No,Electronic Check,2,No
33.0,65.65,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,Yes
6.0,89.88,Two Year,No,No,Bank Transfer,0,Yes
50.0,69.65,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
18.0,73.68,Month-to-Month,DSL,Yes,Mailed Check,1,No
53.0,99.25,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
10.0,42.83,Month-to-Month,No,Yes,Credit Card,2,Yes
2.0,58.4,Month-to-Month,DSL,No,Electronic Check,2,No
16.0,114.04,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
8.0,59.1,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
30.0,26.98,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
72.0,44.92,Month-to-Month,No,Yes,Bank Transfer,0,No
28.0,36.85,Two Year,DSL,No,Bank Transfer,0,No
52.0,75.71,Month-to-Month,Fiber Optic,No,Bank Transfer,1,Yes
14.0,38.12,Month-to-Month,Fiber Optic,Yes,Bank Transfer,2,Yes
35.0,73.13,One Year,DSL,Yes,Credit Card,3,Yes
44.0,42.92,Two Year,DSL,Yes,Mailed Check,1,No
30.0,15.0,Month-to-Month,Fiber Optic,Yes,Mailed Check,0,Yes
17.0,74.2,Two Year,DSL,No,Electronic Check,3,Yes
24.0,69.45,Month-to-Month,No,Yes,Electronic Check,0,No
29.0,80.53,Month-to-Month,DSL,No,Mailed Check,1,Yes
7.0,44.81,Month-to-Month,DSL,Yes,Electronic Check,0,Yes
40.0,41.61,One Year,DSL,Yes,Mailed Check,2,No
72.0,77.04,Month-to-Month,DSL,Yes,Electronic Check,3,No
15.0,110.57,One Year,Fiber Optic,Yes,Credit Card,3,Yes
29.0,65.34,Month-to-Month,Fiber Optic,No,Credit Card,3,Yes
32.0,77.74,One Year,Fiber Optic,No,Electronic Check,2,Yes
26.0,55.35,Month-to-Month,No,Yes,Credit Card,1,No
19.0,18.69,Month-to-Month,Fiber Optic,No,Credit Card,0,No
51.0,94.02,One Year,DSL,No,Credit Card,2,Yes
14.0,92.25,One Year,No,No,Electronic Check,0,Yes
2.0,86.32,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
45.0,59.54,Two Year,Fiber Optic,No,Electronic Check,2,No
27.0,82.91,One Year,Fiber Optic,No,Bank Transfer,1,Yes
45.0,91.81,Month-to-Month,DSL,Yes,Bank Transfer,3,Yes
4.0,113.6,Two Year,No,Yes,Bank Transfer,0,No
1.0,94.66,One Year,DSL,No,Electronic Check,0,No
65.0,66.91,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
4.0,25.75,Month-to-Month,DSL,No,Mailed Check,0,Yes
40.0,69.67,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
42.0,72.7,Month-to-Month,Fiber Optic,Yes,Mailed Check,0,Yes
30.0,86.27,Month-to-Month,DSL,No,Credit Card,0,Yes
3.0,105.62,Month-to-Month,Fiber Optic,No,Credit Card,3,Yes
26.0,62.15,One Year,Fiber Optic,No,Bank Transfer,1,Yes
53.0,128.03,Month-to-Month,Fiber Optic,No,Electronic Check,4,Yes
13.0,15.0,Two Year,Fiber Optic,Yes,Electronic Check,1,No
13.0,77.58,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
14.0,41.04,Month-to-Month,DSL,No,Electronic Check,0,Yes
2.0,15.0,One Year,Fiber Optic,Yes,Mailed Check,3,No
53.0,58.95,One Year,Fiber Optic,No,Electronic Check,0,No
49.0,21.28,Month-to-Month,Fiber Optic,No,Electronic Check,5,Yes
72.0,60.16,Month-to-Month,No,Yes,Credit Card,0,No
21.0,66.04,Month-to-Month,DSL,No,Bank Transfer,0,Yes
33.0,98.56,One Year,DSL,No,Credit Card,1,Yes
5.0,19.77,Month-to-Month,DSL,No,Mailed Check,2,Yes
26.0,92.25,One Year,DSL,Yes,Mailed Check,4,No
25.0,67.94,One Year,DSL,No,Electronic Check,1,No
56.0,95.87,Month-to-Month,No,No,Mailed Check,3,No
43.0,52.05,Month-to-Month,DSL,No,Bank Transfer,3,No
67.0,25.03,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
49.0,28.48,Month-to-Month,DSL,No,Credit Card,0,Yes
49.0,26.25,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
2.0,79.33,Month-to-Month,No,Yes,Mailed Check,2,Yes
45.0,109.31,One Year,DSL,No,Electronic Check,0,Yes
22.0,48.05,Month-to-Month,No,No,Credit Card,0,No
11.0,83.87,Two Year,No,No,Bank Transfer,0,Yes
1.0,19.3,Month-to-Month,Fiber Optic,Yes,Bank Transfer,0,Yes
27.0,70.41,Month-to-Month,DSL,No,Bank Transfer,3,Yes
10.0,85.06,One Year,Fiber Optic,Yes,Electronic Check,0,Yes
15.0,21.56,Two Year,No,No,Electronic Check,0,No
27.0,58.88,Month-to-Month,DSL,Yes,Electronic Check,3,Yes
58.0,86.48,One Year,Fiber Optic,No,Electronic Check,0,Yes
42.0,15.0,Two Year,DSL,Yes,Mailed Check,0,No
14.0,105.06,One Year,DSL,No,Electronic Check,1,No
12.0,75.61,Month-to-Month,No,Yes,Credit Card,2,Yes
7.0,86.5,Two Year,Fiber Optic,No,Bank Transfer,0,Yes
11.0,52.62,One Year,DSL,No,Mailed Check,1,No
3.0,15.0,One Year,Fiber Optic,No,Electronic Check,1,Yes
72.0,81.02,One Year,DSL,Yes,Bank Transfer,0,No
20.0,62.52,Two Year,DSL,Yes,Electronic Check,2,Yes
3.0,65.96,Month-to-Month,Fiber Optic,No,Bank Transfer,1,Yes
10.0,97.63,Month-to-Month,Fiber Optic,Yes,Credit Card,0,Yes
19.0,87.86,Month-to-Month,DSL,Yes,Mailed Check,1,No
18.0,122.64,Month-to-Month,DSL,No,Electronic Check,3,Yes
1.0,69.62,Month-to-Month,Fiber Optic,No,Credit Card,3,Yes
72.0,44.26,One Year,No,Yes,Electronic Check,2,No
8.0,59.35,Month-to-Month,No,Yes,Electronic Check,2,Yes
0.0,77.47,One Year,DSL,No,Mailed Check,0,Yes
2.0,95.48,Two Year,Fiber Optic,No,Credit Card,0,Yes
21.0,20.99,Month-to-Month,No,Yes,Electronic Check,0,No
4.0,65.26,Two Year,Fiber Optic,Yes,Credit Card,4,Yes
1.0,113.29,Month-to-Month,No,No,Electronic Check,0,Yes
11.0,57.79,Two Year,No,Yes,Electronic Check,4,Yes
23.0,92.93,Two Year,DSL,No,Bank Transfer,2,No
3.0,79.79,Month-to-Month,DSL,No,Electronic Check,0,Yes
9.0,93.68,Month-to-Month,DSL,No,Electronic Check,2,Yes
13.0,40.71,Month-to-Month,DSL,No,Electronic Check,4,Yes
4.0,40.84,Two Year,No,Yes,Electronic Check,1,No
17.0,65.61,Two Year,No,Yes,Electronic Check,1,Yes
2.0,19.03,Month-to-Month,DSL,No,Bank Transfer,0,Yes
1.0,56.91,One Year,Fiber Optic,No,Bank Transfer,3,Yes
18.0,72.59,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
7.0,118.54,Month-to-Month,Fiber Optic,Yes,Bank Transfer,0,Yes
2.0,77.08,Two Year,Fiber Optic,Yes,Bank Transfer,1,Yes
13.0,83.76,Month-to-Month,No,Yes,Bank Transfer,3,Yes
59.0,99.93,Two Year,DSL,No,Credit Card,0,No
31.0,36.06,Two Year,DSL,No,Electronic Check,1,No
41.0,60.05,Two Year,DSL,No,Electronic Check,1,No
49.0,137.76,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,Yes
72.0,62.63,Month-to-Month,DSL,Yes,Electronic Check,2,No
35.0,98.49,Month-to-Month,Fiber Optic,Yes,Credit Card,3,Yes
23.0,93.91,One Year,Fiber Optic,Yes,Mailed Check,3,Yes
11.0,20.66,One Year,Fiber Optic,Yes,Electronic Check,0,No
5.0,74.31,Month-to-Month,Fiber Optic,Yes,Credit Card,0,Yes
28.0,69.4,One Year,DSL,No,Electronic Check,3,No
72.0,74.9,Month-to-Month,No,No,Credit Card,2,Yes
15.0,42.38,Month-to-Month,No,Yes,Credit Card,6,Yes
31.0,31.49,Month-to-Month,DSL,No,Bank Transfer,3,Yes
16.0,50.72,Month-to-Month,DSL,No,Electronic Check,2,Yes
14.0,62.07,Month-to-Month,No,No,Electronic Check,3,Yes
13.0,100.55,Month-to-Month,DSL,No,Mailed Check,0,Yes
17.0,119.52,Two Year,DSL,No,Credit Card,2,Yes
11.0,106.9,One Year,Fiber Optic,No,Electronic Check,1,Yes
33.0,90.81,Month-to-Month,DSL,Yes,Electronic Check,4,Yes
50.0,34.87,One Year,DSL,No,Electronic Check,1,No
51.0,52.73,One Year,Fiber Optic,No,Mailed Check,3,Yes
6.0,71.3,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
54.0,46.03,One Year,No,No,Electronic Check,0,No
10.0,82.32,One Year,No,No,Electronic Check,1,Yes
9.0,86.61,One Year,DSL,No,Bank Transfer,2,Yes
31.0,81.09,One Year,DSL,Yes,Credit Card,0,No
9.0,95.75,One Year,Fiber Optic,No,Credit Card,0,Yes
1.0,37.86,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
11.0,92.98,Two Year,DSL,No,Electronic Check,1,Yes
31.0,44.13,Month-to-Month,DSL,No,Mailed Check,1,Yes
10.0,36.77,Two Year,DSL,Yes,Credit Card,0,No
24.0,80.96,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
26.0,101.48,Month-to-Month,DSL,Yes,Bank Transfer,2,Yes
32.0,79.64,One Year,No,No,Bank Transfer,3,Yes
55.0,65.62,Month-to-Month,DSL,Yes,Credit Card,1,Yes
14.0,74.3,Two Year,No,No,Mailed Check,1,No
4.0,69.09,Month-to-Month,No,No,Electronic Check,0,Yes
9.0,31.22,One Year,Fiber Optic,No,Bank Transfer,2,Yes
14.0,27.72,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
30.0,62.64,Month-to-Month,Fiber Optic,No,Bank Transfer,0,Yes
0.0,67.4,Month-to-Month,DSL,No,Credit Card,0,Yes
9.0,65.34,One Year,DSL,Yes,Mailed Check,0,No
36.0,85.28,One Year,Fiber Optic,No,Electronic Check,3,Yes
27.0,58.54,One Year,Fiber Optic,Yes,Electronic Check,3,No
32.0,81.89,Two Year,Fiber Optic,No,Credit Card,2,Yes
40.0,60.66,One Year,Fiber Optic,Yes,Mailed Check,1,Yes
37.0,119.7,Two Year,Fiber Optic,No,Electronic Check,3,Yes
28.0,67.42,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
14.0,135.22,Month-to-Month,Fiber Optic,Yes,Mailed Check,3,Yes
72.0,75.56,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
20.0,58.59,Month-to-Month,No,No,Mailed Check,1,Yes
5.0,38.02,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
8.0,21.71,Month-to-Month,Fiber Optic,No,Bank Transfer,0,No
28.0,35.26,One Year,Fiber Optic,No,Credit Card,1,Yes
62.0,38.61,One Year,Fiber Optic,No,Electronic Check,0,No
5.0,76.84,Two Year,Fiber Optic,Yes,Credit Card,2,Yes
2.0,49.22,Two Year,DSL,Yes,Electronic Check,3,No
51.0,70.61,Month-to-Month,No,Yes,Mailed Check,1,No
59.0,103.46,Month-to-Month,DSL,No,Mailed Check,2,Yes
8.0,62.37,Month-to-Month,Fiber Optic,Yes,Credit Card,2,Yes
11.0,127.37,Month-to-Month,DSL,No,Mailed Check,2,Yes
26.0,29.73,Month-to-Month,DSL,Yes,Mailed Check,0,No
10.0,60.48,One Year,Fiber Optic,Yes,Credit Card,2,No
50.0,48.82,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,Yes
3.0,93.1,One Year,No,No,Electronic Check,2,Yes
1.0,15.0,One Year,DSL,No,Electronic Check,0,No
6.0,21.71,Month-to-Month,DSL,No,Bank Transfer,1,Yes
8.0,61.78,Month-to-Month,DSL,No,Mailed Check,2,Yes
3.0,111.54,Two Year,Fiber Optic,No,Credit Card,1,Yes
2.0,71.78,Month-to-Month,No,No,Mailed Check,1,Yes
34.0,24.45,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
4.0,29.09,Month-to-Month,Fiber Optic,No,Credit Card,3,Yes
59.0,115.19,Month-to-Month,No,Yes,Electronic Check,1,Yes
11.0,46.37,Month-to-Month,DSL,No,Credit Card,1,Yes
27.0,36.71,Two Year,Fiber Optic,Yes,Electronic Check,1,No
6.0,109.32,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
7.0,95.33,Month-to-Month,DSL,No,Mailed Check,3,Yes
21.0,103.22,Month-to-Month,DSL,No,Electronic Check,3,Yes
20.0,36.5,One Year,DSL,Yes,Electronic Check,1,No
35.0,19.25,Month-to-Month,No,No,Mailed Check,1,No
34.0,68.99,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
27.0,75.05,One Year,No,No,Electronic Check,1,No
14.0,75.94,Month-to-Month,Fiber Optic,No,Electronic Check,3,Yes
53.0,109.35,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
23.0,15.0,Month-to-Month,Fiber Optic,Yes,Mailed Check,3,No
72.0,90.79,One Year,No,Yes,Electronic Check,0,No
41.0,32.1,Two Year,DSL,Yes,Bank Transfer,1,No
1.0,90.67,Month-to-Month,DSL,No,Bank Transfer,3,Yes
9.0,50.75,Month-to-Month,Fiber Optic,No,Bank Transfer,1,Yes
20.0,40.58,Month-to-Month,No,No,Mailed Check,1,Yes
31.0,46.7,One Year,No,No,Electronic Check,1,Yes
19.0,21.63,One Year,Fiber Optic,No,Mailed Check,0,No
37.0,66.21,One Year,DSL,Yes,Credit Card,1,No
8.0,41.82,One Year,DSL,Yes,Mailed Check,4,Yes
5.0,88.59,Two Year,No,No,Electronic Check,1,No
1.0,84.2,Two Year,Fiber Optic,No,Electronic Check,1,Yes
20.0,115.64,One Year,DSL,No,Credit Card,1,No
28.0,75.99,Month-to-Month,No,No,Bank Transfer,2,Yes
9.0,80.62,Month-to-Month,DSL,No,Electronic Check,2,Yes
23.0,107.0,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
1.0,46.17,Month-to-Month,Fiber Optic,Yes,Credit Card,2,Yes
3.0,20.35,One Year,DSL,No,Electronic Check,1,Yes
29.0,71.0,Month-to-Month,DSL,Yes,Mailed Check,0,No
11.0,22.32,One Year,DSL,Yes,Bank Transfer,1,No
27.0,138.62,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,Yes
43.0,108.66,One Year,Fiber Optic,No,Electronic Check,2,Yes
46.0,129.92,Month-to-Month,DSL,No,Electronic Check,1,Yes
5.0,66.87,Month-to-Month,No,No,Credit Card,1,Yes
16.0,81.52,Month-to-Month,DSL,No,Mailed Check,0,Yes
32.0,51.22,Two Year,DSL,Yes,Credit Card,0,No
36.0,91.49,Month-to-Month,DSL,No,Bank Transfer,0,Yes
37.0,28.53,Month-to-Month,DSL,No,Credit Card,2,No
6.0,15.0,Month-to-Month,No,No,Credit Card,2,Yes
5.0,41.28,One Year,DSL,Yes,Mailed Check,1,No
21.0,21.34,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
32.0,109.34,Two Year,No,Yes,Bank Transfer,1,No
9.0,119.47,Month-to-Month,Fiber Optic,No,Bank Transfer,2,Yes
3.0,22.91,Month-to-Month,Fiber Optic,No,Mailed Check,0,Yes
30.0,103.75,One Year,No,No,Credit Card,4,Yes
9.0,93.54,Month-to-Month,Fiber Optic,Yes,Electronic Check,0,Yes
4.0,17.91,Two Year,DSL,Yes,Electronic Check,1,No
4.0,53.29,Month-to-Month,Fiber Optic,Yes,Bank Transfer,0,Yes
9.0,47.6,Two Year,No,No,Electronic Check,1,No
22.0,87.44,One Year,Fiber Optic,No,Mailed Check,2,Yes
11.0,28.14,Two Year,Fiber Optic,No,Credit Card,0,Yes
1.0,62.03,Month-to-Month,No,No,Bank Transfer,0,Yes
2.0,44.42,Month-to-Month,Fiber Optic,Yes,Credit Card,2,Yes
8.0,79.2,One Year,DSL,Yes,Bank Transfer,0,No
26.0,58.5,One Year,DSL,Yes,Bank Transfer,1,No
